"","county","All","year","variable_code","estimate"
"79","Haywood County",62152,"2022","Other Race",0.0128716694555284
"80","Haywood County",62152,"2022","Two or More Races",2.45205303127816
"81","Swain County",14130,"2022","Hispanic",6.88605803255485
"82","Swain County",14130,"2022","White",59.5470629865534
"83","Swain County",14130,"2022","Black",1.19603680113234
"84","Swain County",14130,"2022","American Indian",27.9476291578202
"85","Swain County",14130,"2022","Asian",0.523708421797594
"86","Swain County",14130,"2022","NHPI",0
"87","Swain County",14130,"2022","Other Race",0.0353857041755131
"88","Swain County",14130,"2022","Two or More Races",3.86411889596603
"89","Vance County",42492,"2022","Hispanic",8.51689729831498
"90","Vance County",42492,"2022","White",38.2024851736798
"91","Vance County",42492,"2022","Black",48.7974206909536
"92","Vance County",42492,"2022","American Indian",0.14120304998588
"93","Vance County",42492,"2022","Asian",0.920173209074649
"94","Vance County",42492,"2022","NHPI",0
"95","Vance County",42492,"2022","Other Race",0
"96","Vance County",42492,"2022","Two or More Races",3.42182057799115
"97","Franklin County",71962,"2023","Hispanic",10.6125455101303
"98","Franklin County",71962,"2023","White",61.1183680275701
"99","Franklin County",71962,"2023","Black",22.8620660904366
"100","Franklin County",71962,"2023","American Indian",0.222339568105389
"101","Franklin County",71962,"2023","Asian",0.808760178983352
"102","Franklin County",71962,"2023","NHPI",0.00277924460131736
"103","Franklin County",71962,"2023","Other Race",0.321002751452155
"104","Franklin County",71962,"2023","Two or More Races",4.05213862872071
"105","Haywood County",62432,"2023","Hispanic",4.72994618144541
"106","Haywood County",62432,"2023","White",90.8972962583291
"107","Haywood County",62432,"2023","Black",0.965850845720143
"108","Haywood County",62432,"2023","American Indian",0.461301896463352
"109","Haywood County",62432,"2023","Asian",0.384418247052793
"110","Haywood County",62432,"2023","NHPI",0
"111","Haywood County",62432,"2023","Other Race",0.121732444900051
"112","Haywood County",62432,"2023","Two or More Races",2.43945412608919
"113","Swain County",14065,"2023","Hispanic",5.10487024528973
"114","Swain County",14065,"2023","White",60.3412726626378
"115","Swain County",14065,"2023","Black",1.50728759331674
"116","Swain County",14065,"2023","American Indian",28.2332029861358
"117","Swain County",14065,"2023","Asian",0.398151439744045
"118","Swain County",14065,"2023","NHPI",0
"119","Swain County",14065,"2023","Other Race",0.0355492356914326
"120","Swain County",14065,"2023","Two or More Races",4.3796658371845
"121","Vance County",42361,"2023","Hispanic",9.0956304147683
"122","Vance County",42361,"2023","White",37.6218691721159
"123","Vance County",42361,"2023","Black",48.9011118717688
"124","Vance County",42361,"2023","American Indian",0.110951110691438
"125","Vance County",42361,"2023","Asian",0.642100044852577
"126","Vance County",42361,"2023","NHPI",0
"127","Vance County",42361,"2023","Other Race",0
"128","Vance County",42361,"2023","Two or More Races",3.62833738580298
