"","company","year","latitude","longitude","variable_code"
"24","HAYWOOD REGIONAL MEDICAL CTR",2023,35.525927,-82.943819,"Count of Hospitals"
"25","CENTRAL REGIONAL HOSPITAL",2023,36.145985,-78.772017,"Count of Hospitals"
"26","UNITY HEALING CTR",2023,35.48299,-83.31691,"Count of Hospitals"
"27","MARIA PARHAM HEALTH",2023,36.331037,-78.449497,"Count of Hospitals"
"28","CHEROKEE INDIAN HOSPITAL",2023,35.48299,-83.31691,"Count of Hospitals"
"29","GRANVILLE HEALTH SYSTEM",2023,36.326755,-78.592577,"Count of Hospitals"
"30","QUALITY DRUGS INC OF BUTNER",2020,36.134043,-78.759026,"Count of Pharmacies"
"31","CREEDMOOR DRUG CO",2020,36.311527,-78.588372,"Count of Pharmacies"
"32","MEDICAL ARTS PHARM & MED SUPLS",2020,36.336441,-78.445099,"Count of Pharmacies"
"33","CVS/PHARMACY",2020,36.319909,-78.415483,"Count of Pharmacies"
"34","SOUTHSIDE DRUG CO",2020,36.317223,-78.40504,"Count of Pharmacies"
"35","WALGREENS",2020,35.50194,-82.987898,"Count of Pharmacies"
"36","WALGREENS",2020,35.53277,-82.852715,"Count of Pharmacies"
"37","MARTIN'S DRUG STORE",2020,35.532976,-82.838667,"Count of Pharmacies"
"38","PROFESSIONAL PHARMACY",2020,36.323678,-78.598072,"Count of Pharmacies"
"39","FOOD LION PHARMACY",2020,36.330054,-78.433251,"Count of Pharmacies"
"40","WALGREENS",2020,36.336686,-78.439335,"Count of Pharmacies"
"41","WALGREENS",2020,36.318226,-78.41481,"Count of Pharmacies"
"42","BRYSON CITY PHARMACY",2020,35.425417,-83.45151,"Count of Pharmacies"
"43","CVS/PHARMACY",2020,35.50345,-82.990788,"Count of Pharmacies"
"44","WALGREENS",2020,36.309915,-78.591362,"Count of Pharmacies"
"45","WALMART PHARMACY",2020,36.28053,-78.606217,"Count of Pharmacies"
"46","WALMART PHARMACY",2020,35.466514,-83.009377,"Count of Pharmacies"
"47","WALMART PHARMACY",2020,36.334764,-78.443552,"Count of Pharmacies"
"48","PALMETTO LONG TERM CARE PHARM",2020,35.439825,-83.071976,"Count of Pharmacies"
"49","WALGREENS",2020,35.42627,-83.448436,"Count of Pharmacies"
"50","MAST LONG TERM CARE",2020,36.344734,-78.429455,"Count of Pharmacies"
"51","MAST FAMILY DRUG",2020,36.323438,-78.41966,"Count of Pharmacies"
"52","CVS/PHARMACY",2020,36.31316,-78.586426,"Count of Pharmacies"
"53","KIM'S PHARMACY",2020,35.498848,-82.984401,"Count of Pharmacies"
"54","CVS/PHARMACY",2020,35.4814,-82.9905,"Count of Pharmacies"
"55","HAYWOOD PHARMACY",2020,35.525654,-82.954643,"Count of Pharmacies"
"56","CVS/PHARMACY",2020,36.121529,-78.685906,"Count of Pharmacies"
"57","HRH OF NC INC",2020,35.434612,-83.444836,"Count of Pharmacies"
"58","FOOD LION PHARMACY",2020,36.320217,-78.381577,"Count of Pharmacies"
"59","FOOD LION PHARMACY",2020,36.131319,-78.7296,"Count of Pharmacies"
"60","QUALITY DRUGS INC",2020,36.141751,-78.759482,"Count of Pharmacies"
"61","MARK'S HEALTH MART PHARMACY",2020,35.483238,-83.008838,"Count of Pharmacies"
"62","HAZELWOOD RX LLC",2020,35.489981,-82.988397,"Count of Pharmacies"
"63","RHG PHARMACY",2020,36.4478,-78.5703,"Count of Pharmacies"
"64","BLUE RIDGE CMNTY HEALTH PHARM",2020,35.526134,-82.949849,"Count of Pharmacies"
"65","INGLES MARKET PHARMACY",2020,35.504066,-82.986279,"Count of Pharmacies"
"66","INGLES MARKET PHARMACY",2020,35.551462,-82.849286,"Count of Pharmacies"
"67","CENTRAL REGIONAL HOSP PHARM",2020,36.145482,-78.771853,"Count of Pharmacies"
"68","INGLES MARKET PHARMACY",2020,35.4814,-82.9905,"Count of Pharmacies"
"69","PUBLIX PHARMACY",2020,35.504283,-82.994446,"Count of Pharmacies"
"70","WALGREENS",2020,36.1104,-78.6895,"Count of Pharmacies"
"71","BLUE RIDGE HEALTH-HAYWOOD PHRM",2020,35.526134,-82.949849,"Count of Pharmacies"
"72","WAYNESVILLE PHARMACY",2020,35.477835,-83.003477,"Count of Pharmacies"
"73","MAST DRUG CO INC",2020,36.344734,-78.429455,"Count of Pharmacies"
"74","QUALITY DRUGS INC OF BUTNER",2021,36.134043,-78.759026,"Count of Pharmacies"
"75","CREEDMOOR DRUG CO",2021,36.311527,-78.588372,"Count of Pharmacies"
"76","MEDICAL ARTS PHARM-HENDERSON",2021,36.336441,-78.445099,"Count of Pharmacies"
"77","CVS/PHARMACY",2021,36.319909,-78.415483,"Count of Pharmacies"
"78","SOUTHSIDE DRUG CO",2021,36.317223,-78.40504,"Count of Pharmacies"
"79","WALGREENS",2021,35.53277,-82.852715,"Count of Pharmacies"
"80","MARTIN'S DRUG STORE",2021,35.532976,-82.838667,"Count of Pharmacies"
"81","WALGREENS",2021,35.50194,-82.987898,"Count of Pharmacies"
"82","PROFESSIONAL PHARMACY",2021,36.323678,-78.598072,"Count of Pharmacies"
"83","FOOD LION PHARMACY",2021,36.330054,-78.433251,"Count of Pharmacies"
"84","WALGREENS",2021,36.336686,-78.439335,"Count of Pharmacies"
"85","WALGREENS",2021,36.318226,-78.41481,"Count of Pharmacies"
"86","BRYSON CITY PHARMACY",2021,35.425417,-83.45151,"Count of Pharmacies"
"87","CVS/PHARMACY",2021,35.50345,-82.990788,"Count of Pharmacies"
"88","WALGREENS",2021,36.309915,-78.591362,"Count of Pharmacies"
"89","WALMART PHARMACY",2021,36.28053,-78.606217,"Count of Pharmacies"
"90","WALMART PHARMACY",2021,35.466514,-83.009377,"Count of Pharmacies"
"91","WALMART PHARMACY",2021,36.334764,-78.443552,"Count of Pharmacies"
"92","PALMETTO LONG TERM CARE PHARM",2021,35.439825,-83.071976,"Count of Pharmacies"
"93","WALGREENS",2021,35.42627,-83.448436,"Count of Pharmacies"
"94","MAST FAMILY DRUG",2021,36.323438,-78.41966,"Count of Pharmacies"
"95","CVS/PHARMACY",2021,36.31316,-78.586426,"Count of Pharmacies"
"96","KIM'S PHARMACY",2021,35.497592,-82.990755,"Count of Pharmacies"
"97","CVS/PHARMACY",2021,35.4814,-82.9905,"Count of Pharmacies"
"98","HAYWOOD PHARMACY",2021,35.525654,-82.954643,"Count of Pharmacies"
"99","CVS/PHARMACY",2021,36.121529,-78.685906,"Count of Pharmacies"
"100","FOOD LION PHARMACY",2021,36.320217,-78.381577,"Count of Pharmacies"
"101","MARK'S HEALTH MART PHARMACY",2021,35.483238,-83.008838,"Count of Pharmacies"
"102","HAZELWOOD RX LLC",2021,35.489981,-82.988397,"Count of Pharmacies"
"103","RHG PHARMACY",2021,36.4478,-78.5703,"Count of Pharmacies"
"104","BLUE RIDGE CMNTY HEALTH PHARM",2021,35.526134,-82.949849,"Count of Pharmacies"
"105","INGLES MARKET PHARMACY",2021,35.504066,-82.986279,"Count of Pharmacies"
"106","INGLES MARKET PHARMACY",2021,35.551462,-82.849286,"Count of Pharmacies"
"107","CENTRAL REGIONAL HOSP PHARM",2021,36.145482,-78.771853,"Count of Pharmacies"
"108","PUBLIX PHARMACY",2021,35.504283,-82.994446,"Count of Pharmacies"
"109","INGLES MARKET PHARMACY",2021,35.4814,-82.9905,"Count of Pharmacies"
"110","WALGREENS",2021,36.1104,-78.6895,"Count of Pharmacies"
"111","BEST CARE PHARMACY",2021,36.329937,-78.430313,"Count of Pharmacies"
"112","B & C PHARMACY",2021,35.512794,-83.069321,"Count of Pharmacies"
"113","WAYNESVILLE PHARMACY",2021,35.477835,-83.003477,"Count of Pharmacies"
"114","MAST DRUG CO INC",2021,36.344734,-78.429455,"Count of Pharmacies"
"115","QUALITY DRUGS INC OF BUTNER",2022,36.134043,-78.759026,"Count of Pharmacies"
"116","CREEDMOOR DRUG CO",2022,36.311527,-78.588372,"Count of Pharmacies"
"117","MEDICAL ARTS PHARM-HENDERSON",2022,36.336441,-78.445099,"Count of Pharmacies"
"118","CVS PHARMACY",2022,36.319909,-78.415483,"Count of Pharmacies"
"119","SOUTHSIDE DRUG CO",2022,36.317223,-78.40504,"Count of Pharmacies"
"120","WALGREENS",2022,35.53277,-82.852715,"Count of Pharmacies"
"121","WALGREENS",2022,35.50194,-82.987898,"Count of Pharmacies"
"122","PROFESSIONAL PHARMACY",2022,36.323678,-78.598072,"Count of Pharmacies"
"123","FOOD LION PHARMACY",2022,36.330054,-78.433251,"Count of Pharmacies"
"124","WALGREENS",2022,36.336686,-78.439335,"Count of Pharmacies"
"125","WALGREENS",2022,36.318226,-78.41481,"Count of Pharmacies"
"126","BRYSON CITY PHARMACY",2022,35.425417,-83.45151,"Count of Pharmacies"
"127","CVS PHARMACY",2022,35.50345,-82.990788,"Count of Pharmacies"
"128","WALGREENS",2022,36.309915,-78.591362,"Count of Pharmacies"
"129","WALMART PHARMACY",2022,36.28053,-78.606217,"Count of Pharmacies"
"130","WALMART PHARMACY",2022,35.466514,-83.009377,"Count of Pharmacies"
"131","WALMART PHARMACY",2022,36.334764,-78.443552,"Count of Pharmacies"
"132","WALGREENS",2022,35.426345,-83.448365,"Count of Pharmacies"
"133","MAST FAMILY DRUG",2022,36.323412,-78.419685,"Count of Pharmacies"
"134","CVS PHARMACY",2022,36.31316,-78.586426,"Count of Pharmacies"
"135","KIM'S PHARMACY",2022,35.497592,-82.990755,"Count of Pharmacies"
"136","HAYWOOD PHARMACY",2022,35.525654,-82.954643,"Count of Pharmacies"
"137","CVS PHARMACY",2022,36.121529,-78.685906,"Count of Pharmacies"
"138","FOOD LION PHARMACY",2022,36.320217,-78.381577,"Count of Pharmacies"
"139","MARK'S HEALTH MART PHARMACY",2022,35.480156,-83.003198,"Count of Pharmacies"
"140","RHG PHARMACY",2022,36.447457,-78.568342,"Count of Pharmacies"
"141","BLUE RIDGE CMNTY HEALTH PHARM",2022,35.526134,-82.949849,"Count of Pharmacies"
"142","INGLES MARKET PHARMACY",2022,35.504066,-82.986279,"Count of Pharmacies"
"143","INGLES MARKET PHARMACY",2022,35.551462,-82.849286,"Count of Pharmacies"
"144","CENTRAL REGIONAL HOSP PHARM",2022,36.145482,-78.771853,"Count of Pharmacies"
"145","INGLES MARKET PHARMACY",2022,35.4814,-82.9905,"Count of Pharmacies"
"146","PUBLIX PHARMACY",2022,35.50417,-82.993921,"Count of Pharmacies"
"147","WALGREENS",2022,36.1423,-78.7196,"Count of Pharmacies"
"148","B & C PHARMACY",2022,35.512794,-83.069321,"Count of Pharmacies"
"149","WAYNESVILLE PHARMACY",2022,35.477835,-83.003477,"Count of Pharmacies"
"150","QUALITY DRUGS INC OF BUTNER",2023,36.133956,-78.759147,"Count of Pharmacies"
"151","CREEDMOOR DRUG CO",2023,36.311557,-78.588408,"Count of Pharmacies"
"152","MEDICAL ARTS PHARM & MED SUPLS",2023,36.335427,-78.445108,"Count of Pharmacies"
"153","CVS PHARMACY",2023,36.319745,-78.414662,"Count of Pharmacies"
"154","SOUTHSIDE DRUG CO",2023,36.317101,-78.40511,"Count of Pharmacies"
"155","WALGREENS",2023,35.532151,-82.863376,"Count of Pharmacies"
"156","WALGREENS",2023,35.50217,-82.987712,"Count of Pharmacies"
"157","PROFESSIONAL PHARMACY",2023,36.323678,-78.598072,"Count of Pharmacies"
"158","FOOD LION PHARMACY",2023,36.329721,-78.43351,"Count of Pharmacies"
"159","WALGREENS",2023,36.336677,-78.439266,"Count of Pharmacies"
"160","WALGREENS",2023,36.318226,-78.41481,"Count of Pharmacies"
"161","BRYSON CITY PHARMACY",2023,35.425345,-83.451657,"Count of Pharmacies"
"162","CVS PHARMACY",2023,35.50345,-82.990788,"Count of Pharmacies"
"163","WALGREENS",2023,36.309915,-78.591362,"Count of Pharmacies"
"164","WALMART PHARMACY",2023,36.279881,-78.602839,"Count of Pharmacies"
"165","WALMART PHARMACY",2023,35.466721,-83.009883,"Count of Pharmacies"
"166","WALMART PHARMACY",2023,36.334764,-78.443552,"Count of Pharmacies"
"167","WALGREENS",2023,35.426451,-83.448559,"Count of Pharmacies"
"168","MAST FAMILY DRUG",2023,36.323773,-78.419897,"Count of Pharmacies"
"169","CVS PHARMACY",2023,36.313192,-78.586472,"Count of Pharmacies"
"170","KIM'S PHARMACY",2023,35.497592,-82.990755,"Count of Pharmacies"
"171","HAYWOOD PHARMACY",2023,35.525614,-82.954536,"Count of Pharmacies"
"172","CVS PHARMACY",2023,36.122089,-78.685374,"Count of Pharmacies"
"173","FOOD LION PHARMACY",2023,36.320363,-78.38182,"Count of Pharmacies"
"174","MARK'S HEALTH MART PHARMACY",2023,35.484086,-83.008715,"Count of Pharmacies"
"175","BLUE RIDGE CMNTY HEALTH PHARM",2023,35.526071,-82.949886,"Count of Pharmacies"
"176","RHG PHARMACY",2023,36.461662,-78.573224,"Count of Pharmacies"
"177","INGLES MARKET PHARMACY",2023,35.504579,-82.986423,"Count of Pharmacies"
"178","INGLES MARKET PHARMACY",2023,35.551459,-82.849286,"Count of Pharmacies"
"179","CENTRAL REGIONAL HOSP PHARM",2023,36.145985,-78.772017,"Count of Pharmacies"
"180","PUBLIX PHARMACY",2023,35.50492,-82.993505,"Count of Pharmacies"
"181","INGLES MARKET PHARMACY",2023,35.493215,-82.986122,"Count of Pharmacies"
"182","WALGREENS",2023,36.119585,-78.68547,"Count of Pharmacies"
"183","KIM'S PHARMACY LTC",2023,35.497592,-82.990755,"Count of Pharmacies"
"184","B & C PHARMACY",2023,35.512625,-83.069325,"Count of Pharmacies"
"185","PROFESSIONAL HEALTH CONSULTING",2023,36.323678,-78.598072,"Count of Pharmacies"
"186","WAYNESVILLE PHARMACY",2023,35.477972,-83.003556,"Count of Pharmacies"
"187","WESTER III M W DDS",2020,36.330986,-78.446401,"Count of Dentists"
"188","CONARD JOSEPH R DDS",2020,35.496996,-82.977321,"Count of Dentists"
"189","SMOKY MOUNTAIN DENTISTRY",2020,35.539521,-82.956909,"Count of Dentists"
"190","",2020,35.525267,-82.836613,"Count of Dentists"
"191","FISHER & BODNAR PLLC",2020,35.52745,-82.936828,"Count of Dentists"
"192","KERRY P COGBURN PA",2020,35.527074,-82.93989,"Count of Dentists"
"193","WILLIAM WOOTEN PA",2020,36.33613,-78.4276,"Count of Dentists"
"194","HENDERSON FAMILY DENTISTRY",2020,36.325533,-78.422289,"Count of Dentists"
"195","CAMPBELL ORTHODONITCS",2020,36.1104,-78.6895,"Count of Dentists"
"196","CAMPBELL ORTHODONITCS",2020,36.1104,-78.6895,"Count of Dentists"
"197","OXFORD DENTAL CARE",2020,36.334473,-78.594669,"Count of Dentists"
"198","WILSON ORTHODONTICS",2020,36.323927,-78.593941,"Count of Dentists"
"199","BART CLEARY DDS PA",2020,36.323927,-78.593941,"Count of Dentists"
"200","CLEARY & SPEARS",2020,36.323927,-78.593941,"Count of Dentists"
"201","ROCK CLIFF ORAL SURGERY",2020,35.528753,-82.961333,"Count of Dentists"
"202","CREEDMOOR FAMILY DENTISTRY",2020,36.116725,-78.687054,"Count of Dentists"
"203","BUTNER-CREEDMOOR FAMILY",2020,36.142827,-78.71816,"Count of Dentists"
"204","GREAT BEGINNINGS PEDIATRIC",2020,35.528781,-82.961606,"Count of Dentists"
"205","CATALOOCHEE DENTAL GROUP",2020,35.52745,-82.936828,"Count of Dentists"
"206","GREAT SMILES",2020,35.528781,-82.961606,"Count of Dentists"
"207","BLUE RIDGE DENTAL",2020,35.529116,-82.960833,"Count of Dentists"
"208","BLUE RIDGE DENTAL",2020,35.529116,-82.960833,"Count of Dentists"
"209","JOHN M HIGHSMITH DENTAL",2020,35.53016,-82.918787,"Count of Dentists"
"210","NABORS DARRYL D DDS PA OFFICE",2020,35.530751,-82.91814,"Count of Dentists"
"211","CHAMBERS BEACHTOLD HALDEMAN",2020,35.528781,-82.961606,"Count of Dentists"
"212","EMILY E HALL PA",2020,35.497329,-82.980972,"Count of Dentists"
"213","MARK E BOSTIC PLLC",2020,36.320364,-78.595527,"Count of Dentists"
"214","HOYLE WILSON S JR DR",2020,36.325952,-78.408448,"Count of Dentists"
"215","",2020,35.4962,-83.2961,"Count of Dentists"
"216","SMILE STUDIO OF HENDERSON",2020,36.331648,-78.44621,"Count of Dentists"
"217","SHAWN R KENNEDY PA",2020,35.52745,-82.936828,"Count of Dentists"
"218","ROCKCLIFF ORAL-FACIAL SURG",2020,35.528781,-82.961606,"Count of Dentists"
"219","ROCKCLIFF PLACE ORAL",2020,35.528781,-82.961606,"Count of Dentists"
"220","ROCKCLIFF PLACE ORAL",2020,35.528781,-82.961606,"Count of Dentists"
"221","",2020,36.1423,-78.7196,"Count of Dentists"
"222","GILLESPIE MICHAEL D DDS",2020,35.488047,-82.990528,"Count of Dentists"
"223","RALEIGH ORTHODONTICS",2020,36.1423,-78.7196,"Count of Dentists"
"224","GRANVILLE FAMILY DENTISTRY",2020,36.327209,-78.593684,"Count of Dentists"
"225","GRANVILLE FAMILY DENTISTRY",2020,36.327209,-78.593684,"Count of Dentists"
"226","HENDERSON PEDIATRIC DENTISTRY",2020,36.331648,-78.44621,"Count of Dentists"
"227","ROCKCLIFF PLACE ORAL",2020,35.528781,-82.961606,"Count of Dentists"
"228","CREEDMOOR ORTHODONTICS",2020,36.1423,-78.7196,"Count of Dentists"
"229","HENDERSON PEDIATRIC DENTISTRY",2020,36.331648,-78.44621,"Count of Dentists"
"230","BLUE RIDGE DENTAL",2020,35.529116,-82.960833,"Count of Dentists"
"231","RONALD A MOSS DENTAL",2020,36.331648,-78.44621,"Count of Dentists"
"232","CATALOOCHEE DENTAL GROUP",2020,35.52745,-82.936828,"Count of Dentists"
"233","GENEVIEVE E DAURITY DDS PA",2020,36.330986,-78.446401,"Count of Dentists"
"234","",2020,35.4962,-83.2961,"Count of Dentists"
"235","YURKO DENTAL EXCELLENCE",2020,35.493911,-82.983731,"Count of Dentists"
"236","BLUE RIDGE DENTAL",2020,35.512407,-83.070483,"Count of Dentists"
"237","CATALOOCHEE DENTAL GROUP",2020,35.52745,-82.936828,"Count of Dentists"
"238","",2020,35.52745,-82.936828,"Count of Dentists"
"239","KOREN DENTISTRY",2020,36.116725,-78.687054,"Count of Dentists"
"240","RALEIGH ORTHODONTICS",2020,36.1423,-78.7196,"Count of Dentists"
"241","",2020,35.4962,-83.2961,"Count of Dentists"
"242","",2020,35.424362,-83.452126,"Count of Dentists"
"243","",2020,35.52615,-82.956675,"Count of Dentists"
"244","KOREN DENTISTRY",2020,36.116725,-78.687054,"Count of Dentists"
"245","",2020,35.4962,-83.2961,"Count of Dentists"
"246","COGBURN TEAGUE & VAN PRAAG",2020,35.527074,-82.93989,"Count of Dentists"
"247","MORRISON ERIC DDS/FAMILY",2020,35.485133,-82.991634,"Count of Dentists"
"248","YURKO DENTAL EXCELLENCE",2020,35.493911,-82.983731,"Count of Dentists"
"249","RANSOM KIRBY J DMD",2020,36.330224,-78.452963,"Count of Dentists"
"250","GRANVILLE FAMILY DENTISTRY",2020,36.327209,-78.593684,"Count of Dentists"
"251","SIDNEY SOCKWELL FAMILY DNTSTRY",2020,36.295026,-78.599424,"Count of Dentists"
"252","KENNETH EVINS DENTAL HEALTH",2020,36.310499,-78.592599,"Count of Dentists"
"253","SMOKY MOUNTAIN DENTISTRY",2020,35.539521,-82.956909,"Count of Dentists"
"254","PARADISE FAMILY DENTISTRY",2020,36.333526,-78.432488,"Count of Dentists"
"255","CAROLINA WEST DENTAL",2020,35.500294,-82.983955,"Count of Dentists"
"256","SMOKY MOUNTAIN DENTISTRY",2020,35.539521,-82.956909,"Count of Dentists"
"257","CAROLINA WEST DENTAL",2020,35.500294,-82.983955,"Count of Dentists"
"258","BUTNER CREEDMOOR FAMILY DNSTRY",2020,36.142827,-78.71816,"Count of Dentists"
"259","JOHN R VAN VENROOY DENTAL",2020,36.3303,-78.448,"Count of Dentists"
"260","CAROLINA DENTAL ARTS",2020,36.330986,-78.446401,"Count of Dentists"
"261","T M ROBERSON II PLLC DDS",2020,36.323002,-78.419108,"Count of Dentists"
"262","FISHER & BODNAR PLLC",2020,35.52745,-82.936828,"Count of Dentists"
"263","",2020,36.313574,-78.45591,"Count of Dentists"
"264","",2020,36.312885,-78.553452,"Count of Dentists"
"265","DR'S SCULLY MATHESON & FONSECA",2020,35.528781,-82.961606,"Count of Dentists"
"266","MAGGIE VALLEY DENTAL",2020,35.512407,-83.070483,"Count of Dentists"
"267","LASER DENTISTRY",2020,35.527074,-82.93989,"Count of Dentists"
"268","CAROLINA WEST DENTAL",2020,35.500294,-82.983955,"Count of Dentists"
"269","",2020,36.312885,-78.553452,"Count of Dentists"
"270","",2020,36.330986,-78.446401,"Count of Dentists"
"271","SCHMITT ORTHODONTICS",2020,36.3303,-78.448,"Count of Dentists"
"272","PEAK DENTISTRY",2020,35.530751,-82.91814,"Count of Dentists"
"273","",2020,35.4962,-83.2961,"Count of Dentists"
"274","RURAL HEALTH GROUP AT HNDRSN",2020,36.338131,-78.426188,"Count of Dentists"
"275","",2020,35.496996,-82.977321,"Count of Dentists"
"276","",2020,36.312885,-78.553452,"Count of Dentists"
"277","HENDERSON PEDIATRIC DENTISTRY",2020,36.331648,-78.44621,"Count of Dentists"
"278","",2020,35.4962,-83.2961,"Count of Dentists"
"279","",2020,36.312885,-78.553452,"Count of Dentists"
"280","HENDERSON PEDIATRIC DENTISTRY",2020,36.331648,-78.44621,"Count of Dentists"
"281","CAROLINA WEST DENTAL",2020,35.500294,-82.983955,"Count of Dentists"
"282","",2020,36.116725,-78.687054,"Count of Dentists"
"283","DRS MATHESON FONSECA-PARWORTH",2020,35.528781,-82.961606,"Count of Dentists"
"284","",2020,35.4962,-83.2961,"Count of Dentists"
"285","RICCOBENE ASSOCIATES FAMILY",2020,36.295026,-78.599424,"Count of Dentists"
"286","HENDERSON FAMILY DENTISTRY",2020,36.325533,-78.422289,"Count of Dentists"
"287","",2020,36.317165,-78.569733,"Count of Dentists"
"288","",2020,35.4962,-83.2961,"Count of Dentists"
"289","",2020,35.530479,-82.843834,"Count of Dentists"
"290","HEATHER S LEE DDS PLLC",2020,35.485133,-82.991634,"Count of Dentists"
"291","CLEARY & SPEARS",2020,36.323927,-78.593941,"Count of Dentists"
"292","SMOKY MOUNTAIN DENTISTRY",2020,35.539521,-82.956909,"Count of Dentists"
"293","",2020,35.530479,-82.843834,"Count of Dentists"
"294","CAROLINA WEST DENTAL",2020,35.500294,-82.983955,"Count of Dentists"
"295","",2020,35.485133,-82.991634,"Count of Dentists"
"296","",2020,36.317165,-78.569733,"Count of Dentists"
"297","RURAL HEALTH GROUP AT",2020,36.338131,-78.426188,"Count of Dentists"
"298","SHARDA FAMILY DENTISTRY",2020,36.142827,-78.71816,"Count of Dentists"
"299","READ L PATTEN DENTAL",2020,35.52778,-82.961314,"Count of Dentists"
"300","WILLIAM WOOTEN PA",2020,36.33613,-78.4276,"Count of Dentists"
"301","MARK E BOSTIC PLLC",2020,36.320364,-78.595527,"Count of Dentists"
"302","",2020,36.322441,-78.410581,"Count of Dentists"
"303","WILSON S HOYLE JR OFC",2020,36.325952,-78.408448,"Count of Dentists"
"304","RIDDLE BRUCE C DDS",2020,35.423947,-83.446796,"Count of Dentists"
"305","WAYNESVILLE PERIO",2020,35.497329,-82.980972,"Count of Dentists"
"306","JOHN M HIGHSMITH DENTAL",2020,35.53016,-82.918787,"Count of Dentists"
"307","WESTER III M W DDS",2021,36.330986,-78.446401,"Count of Dentists"
"308","",2021,35.525267,-82.836613,"Count of Dentists"
"309","FISHER & BODNAR PLLC",2021,35.52745,-82.936828,"Count of Dentists"
"310","KERRY P COGBURN PA",2021,35.527074,-82.93989,"Count of Dentists"
"311","CONARD JOSEPH R DDS",2021,35.496996,-82.977321,"Count of Dentists"
"312","SMOKY MOUNTAIN DENTISTRY",2021,35.539521,-82.956909,"Count of Dentists"
"313","WILLIAM S WOOTEN DDS PA",2021,36.33613,-78.4276,"Count of Dentists"
"314","HENDERSON FAMILY DENTISTRY",2021,36.325533,-78.422289,"Count of Dentists"
"315","CAMPBELL ORTHODONITCS",2021,36.1104,-78.6895,"Count of Dentists"
"316","CAMPBELL ORTHODONITCS",2021,36.1104,-78.6895,"Count of Dentists"
"317","TOTAL SMILES OF OXFORD",2021,36.334473,-78.594669,"Count of Dentists"
"318","WILSON ORTHODONTICS",2021,36.323927,-78.593941,"Count of Dentists"
"319","WILSON ORTHODONTICS",2021,36.323927,-78.593941,"Count of Dentists"
"320","BART CLEARY DDS PA",2021,36.323927,-78.593941,"Count of Dentists"
"321","CLEARY & SPEARS",2021,36.323927,-78.593941,"Count of Dentists"
"322","ROCK CLIFF ORAL SURGERY",2021,35.528753,-82.961333,"Count of Dentists"
"323","CREEDMOOR FAMILY DENTISTRY",2021,36.116725,-78.687054,"Count of Dentists"
"324","BUTNER-CREEDMOOR FAMILY",2021,36.142827,-78.71816,"Count of Dentists"
"325","GREAT BEGINNINGS PEDIATRIC",2021,35.528781,-82.961606,"Count of Dentists"
"326","CATALOOCHEE DENTAL GROUP",2021,35.52745,-82.936828,"Count of Dentists"
"327","GREAT SMILES",2021,35.528781,-82.961606,"Count of Dentists"
"328","BLUE RIDGE DENTAL",2021,35.529116,-82.960833,"Count of Dentists"
"329","BLUE RIDGE DENTAL",2021,35.529116,-82.960833,"Count of Dentists"
"330","JOHN M HIGHSMITH DENTAL",2021,35.53016,-82.918787,"Count of Dentists"
"331","NABORS DARRYL D DDS PA OFFICE",2021,35.530751,-82.91814,"Count of Dentists"
